word1,word2,sim,dataset
take,remove,6.81,simverb
walk,trail,4.81,simverb
shine,polish,7.8,simverb
attack,sneak,1.66,simverb
miss,catch,0.0,simverb
feel,touch,7.8,simverb
connect,separate,1.49,simverb
remove,detach,7.47,simverb
describe,define,7.97,simverb
drive,walk,1.49,simverb
cover,protect,6.81,simverb
know,inform,1.99,simverb
shake,shiver,6.31,simverb
take,carry,5.64,simverb
drive,operate,4.98,simverb
bend,break,4.65,simverb
tear,break,6.14,simverb
give,bring,4.98,simverb
kill,shoot,5.31,simverb
believe,know,3.65,simverb
hurt,smash,4.65,simverb
break,destroy,8.3,simverb
accuse,tell,2.49,simverb
respect,like,5.48,simverb
sell,purchase,2.16,simverb
charge,cover,1.66,simverb
pull,lift,2.82,simverb
destroy,kill,7.8,simverb
succeed,overcome,6.97,simverb
look,examine,8.3,simverb
delay,pause,8.13,simverb
dump,waste,5.98,simverb
know,meet,2.82,simverb
sell,borrow,0.66,simverb
veer,look,1.16,simverb
persuade,discourage,1.66,simverb
talk,describe,5.15,simverb
take,acquire,6.31,simverb
wipe,wash,4.81,simverb
pray,hope,6.97,simverb
determine,understand,6.31,simverb
search,seek,9.63,simverb
pull,detach,4.32,simverb
lean,fall,2.16,simverb
control,hold,5.15,simverb
alter,change,9.63,simverb
seem,appear,7.64,simverb
separate,combine,0.5,simverb
have,hold,4.81,simverb
kill,live,0.33,simverb
finish,start,0.5,simverb
pull,strain,3.65,simverb
brush,paint,6.97,simverb
create,imagine,4.81,simverb
desire,need,5.13,simverb
talk,criticize,2.66,simverb
determine,discover,5.64,simverb
hold,reserve,6.31,simverb
accept,allow,6.94,simverb
bring,carry,4.98,simverb
start,begin,8.8,simverb
prepare,cook,6.14,simverb
hunt,kill,6.81,simverb
look,appear,4.98,simverb
dance,sway,3.82,simverb
salute,acknowledge,4.65,simverb
become,make,4.15,simverb
scare,surprise,5.31,simverb
suppose,guess,7.14,simverb
split,leave,2.99,simverb
receive,send,2.32,simverb
begin,introduce,4.32,simverb
associate,connect,6.97,simverb
reject,accept,0.83,simverb
hurry,rush,9.79,simverb
enjoy,relax,5.81,simverb
introduce,show,6.14,simverb
remark,talk,5.81,simverb
flow,pour,5.31,simverb
play,swing,3.15,simverb
demand,need,2.82,simverb
drip,sink,1.99,simverb
abuse,neglect,6.64,simverb
take,choose,3.82,simverb
tell,talk,8.3,simverb
keep,hold,6.14,simverb
delay,wait,5.48,simverb
grill,burn,2.99,simverb
grab,hold,7.97,simverb
smoke,cough,2.66,simverb
think,pause,4.48,simverb
fight,kill,4.15,simverb
rise,lift,7.47,simverb
strike,blow,7.3,simverb
meet,attend,3.82,simverb
fall,rise,0.33,simverb
talk,debate,5.81,simverb
describe,write,3.65,simverb
hear,tell,0.83,simverb
stab,shoot,1.83,simverb
grasp,understand,8.47,simverb
destroy,repair,0.83,simverb
combine,join,7.47,simverb
join,gather,5.15,simverb
bend,turn,3.32,simverb
define,mean,5.15,simverb
drag,pull,7.3,simverb
spell,speak,2.16,simverb
hide,bury,5.31,simverb
hide,find,1.66,simverb
relax,stretch,3.65,simverb
waste,throw,2.66,simverb
come,bring,1.83,simverb
wait,stay,6.47,simverb
look,inspect,8.96,simverb
portray,play,5.81,simverb
organize,prepare,7.3,simverb
disperse,spread,9.3,simverb
walk,talk,1.33,simverb
protect,help,5.15,simverb
stay,come,1.0,simverb
lean,sway,6.14,simverb
want,hope,5.15,simverb
slide,show,0.66,simverb
choke,swallow,0.5,simverb
keep,snatch,1.83,simverb
sprinkle,pour,2.66,simverb
develop,create,8.3,simverb
supply,give,6.97,simverb
look,observe,9.3,simverb
seize,control,4.48,simverb
leave,escape,5.64,simverb
regret,worry,5.31,simverb
make,develop,6.14,simverb
receive,give,0.66,simverb
print,press,5.31,simverb
express,tell,5.98,simverb
break,connect,0.33,simverb
glance,stare,2.49,simverb
grab,release,0.33,simverb
sweat,shiver,1.16,simverb
perceive,understand,8.3,simverb
solve,find,6.14,simverb
show,dance,2.82,simverb
stretch,pull,6.47,simverb
think,determine,3.82,simverb
talk,pray,2.49,simverb
stop,hamper,4.98,simverb
believe,accept,5.64,simverb
attack,kill,4.23,simverb
save,reserve,6.97,simverb
inspect,find,5.31,simverb
tell,suggest,3.65,simverb
console,help,4.81,simverb
deliver,take,2.49,simverb
watch,examine,7.24,simverb
reject,dislike,6.97,simverb
assault,attack,8.63,simverb
tumble,fall,8.3,simverb
abuse,hurt,6.97,simverb
help,criticize,0.66,simverb
snap,break,7.7,simverb
appear,vanish,1.83,simverb
smell,offend,0.66,simverb
help,lend,5.98,simverb
look,glance,8.8,simverb
reject,hurt,4.32,simverb
show,express,6.64,simverb
choke,cough,3.32,simverb
greet,salute,6.64,simverb
perform,dance,6.31,simverb
divide,unite,0.17,simverb
call,collect,1.81,simverb
cover,bury,6.97,simverb
hurt,offend,6.81,simverb
change,spare,1.83,simverb
haul,pull,8.13,simverb
draw,attract,3.32,simverb
protect,watch,4.98,simverb
taste,acquire,2.82,simverb
read,write,1.81,simverb
shake,dance,5.15,simverb
polish,tarnish,2.32,simverb
grind,smash,4.65,simverb
need,depend,5.81,simverb
tear,wear,1.49,simverb
plead,please,1.66,simverb
neglect,leave,5.98,simverb
show,perform,6.14,simverb
become,arrive,1.33,simverb
talk,argue,3.82,simverb
please,request,1.83,simverb
save,help,8.3,simverb
delay,stop,4.15,simverb
give,return,3.32,simverb
slide,fall,3.82,simverb
portray,show,8.63,simverb
attend,appear,4.15,simverb
practice,repeat,7.47,simverb
find,determine,5.48,simverb
organize,gather,4.81,simverb
change,affect,6.97,simverb
haul,take,4.32,simverb
suppose,imagine,6.31,simverb
follow,come,4.15,simverb
spend,save,1.0,simverb
fling,shoot,4.81,simverb
meet,introduce,2.82,simverb
update,review,4.32,simverb
destroy,smash,6.79,simverb
lean,stand,3.98,simverb
return,take,1.49,simverb
fight,disagree,5.98,simverb
debate,decide,4.65,simverb
follow,chase,7.14,simverb
unite,combine,8.3,simverb
destroy,explode,4.15,simverb
tell,convince,4.48,simverb
help,hurt,0.0,simverb
follow,lead,0.17,simverb
overcome,dominate,4.81,simverb
assume,suppose,9.13,simverb
deliver,give,6.97,simverb
prove,show,6.31,simverb
detach,attach,0.33,simverb
detach,separate,8.13,simverb
need,urge,4.65,simverb
hurt,fall,2.32,simverb
remain,stay,9.13,simverb
scratch,hurt,4.32,simverb
begin,stop,0.33,simverb
think,feel,3.32,simverb
smell,sweat,4.32,simverb
smash,break,9.46,simverb
wash,soak,5.15,simverb
speak,tell,6.81,simverb
decline,reject,9.13,simverb
explain,describe,8.13,simverb
frighten,scare,8.96,simverb
play,perform,5.98,simverb
leave,take,1.16,simverb
conquer,dominate,6.64,simverb
receive,acquire,7.14,simverb
catch,chase,3.49,simverb
assault,hurt,6.81,simverb
attack,fight,6.97,simverb
receive,deliver,1.49,simverb
capture,take,7.47,simverb
fasten,hold,4.32,simverb
come,leave,1.0,simverb
aggravate,frustrate,7.47,simverb
smell,taste,2.49,simverb
strain,lift,1.83,simverb
play,lead,2.32,simverb
talk,console,2.99,simverb
excel,advance,5.81,simverb
sneak,hide,5.64,simverb
persuade,urge,6.81,simverb
tell,describe,7.64,simverb
search,look,9.63,simverb
talk,associate,4.15,simverb
touch,kiss,3.49,simverb
gather,collect,9.63,simverb
have,want,1.83,simverb
reduce,save,4.15,simverb
stop,stay,6.47,simverb
grab,take,5.98,simverb
argue,disagree,6.64,simverb
stare,look,7.47,simverb
walk,crawl,2.32,simverb
assault,aggravate,3.65,simverb
cover,spread,4.98,simverb
take,snatch,7.8,simverb
call,bluff,2.66,simverb
cover,hide,6.47,simverb
keep,save,8.47,simverb
overcome,conquer,7.8,simverb
deliver,bring,6.14,simverb
like,want,3.82,simverb
regret,dislike,3.15,simverb
accept,understand,7.3,simverb
veer,turn,5.43,simverb
assume,know,2.49,simverb
scream,roar,7.14,simverb
convince,talk,4.32,simverb
haul,lift,6.14,simverb
give,sell,2.32,simverb
stop,flow,0.17,simverb
acknowledge,greet,5.64,simverb
collect,acquire,6.97,simverb
enter,leave,1.16,simverb
grab,reach,7.14,simverb
hurt,whip,3.98,simverb
whip,punish,5.81,simverb
hurt,feel,5.15,simverb
fall,bounce,1.66,simverb
deliver,send,6.14,simverb
evaluate,examine,7.8,simverb
lead,direct,6.97,simverb
inspect,search,6.31,simverb
argue,differ,6.14,simverb
want,demand,4.48,simverb
result,finish,6.64,simverb
incline,decline,0.33,simverb
leave,return,0.15,simverb
determine,guess,1.99,simverb
convince,explain,5.31,simverb
join,unite,9.3,simverb
differ,disagree,8.3,simverb
exist,live,8.3,simverb
keep,find,3.49,simverb
receive,take,5.98,simverb
know,think,2.57,simverb
like,adore,5.15,simverb
guess,know,1.83,simverb
burst,explode,8.13,simverb
explain,understand,1.66,simverb
fasten,attach,8.47,simverb
grant,give,6.97,simverb
demand,supply,3.15,simverb
sway,swing,7.47,simverb
spell,write,5.31,simverb
carry,hold,7.09,simverb
slide,swing,3.49,simverb
collect,keep,5.15,simverb
remove,strip,7.47,simverb
crackle,crunch,6.31,simverb
appear,come,3.65,simverb
examine,inspect,8.96,simverb
acknowledge,exist,2.32,simverb
grind,grate,6.47,simverb
drive,permit,1.16,simverb
break,unite,0.5,simverb
smell,touch,1.0,simverb
release,relax,4.48,simverb
grasp,hold,9.3,simverb
take,seize,8.13,simverb
explode,blow,5.81,simverb
perceive,think,6.34,simverb
wander,search,6.97,simverb
bend,stretch,6.14,simverb
pour,drip,3.15,simverb
acknowledge,accept,6.81,simverb
look,review,6.14,simverb
make,break,0.17,simverb
determine,decide,7.8,simverb
hurt,strain,5.81,simverb
wander,worry,1.66,simverb
change,differ,5.81,simverb
prefer,want,6.14,simverb
disperse,separate,5.31,simverb
begin,finish,1.83,simverb
throw,fling,8.3,simverb
interrupt,break,4.65,simverb
pluck,pull,6.47,simverb
make,create,8.6,simverb
change,become,5.48,simverb
crackle,snap,3.92,simverb
hurt,burn,2.99,simverb
spring,bounce,8.8,simverb
accept,decline,0.0,simverb
portray,imitate,7.64,simverb
hold,stay,4.48,simverb
dunk,soak,5.48,simverb
help,scream,1.16,simverb
grab,snatch,7.97,simverb
review,read,4.32,simverb
send,give,5.48,simverb
give,lend,6.49,simverb
grab,seize,7.14,simverb
call,talk,4.98,simverb
fill,cover,3.49,simverb
capture,release,0.66,simverb
follow,trail,7.47,simverb
cast,break,1.33,simverb
greet,meet,5.98,simverb
attend,come,8.75,simverb
stop,wait,5.31,simverb
incline,rise,3.62,simverb
swim,meet,0.5,simverb
change,turn,4.15,simverb
hide,scare,2.16,simverb
criticize,offend,3.32,simverb
lick,taste,4.98,simverb
fasten,loosen,0.33,simverb
crash,smash,6.81,simverb
enjoy,live,2.82,simverb
respect,acknowledge,4.98,simverb
destroy,make,2.26,simverb
divide,separate,7.97,simverb
appear,show,4.98,simverb
change,shift,6.81,simverb
conquer,control,6.47,simverb
divide,split,9.3,simverb
flap,cover,0.66,simverb
pull,press,2.49,simverb
talk,persuade,4.15,simverb
shine,rise,2.16,simverb
hold,seize,4.81,simverb
attend,leave,1.16,simverb
stir,blend,7.14,simverb
like,enjoy,8.63,simverb
wear,adorn,3.98,simverb
send,return,1.99,simverb
hurt,squeeze,2.82,simverb
separate,remove,5.15,simverb
release,give,3.32,simverb
roam,follow,2.82,simverb
read,spell,1.33,simverb
pause,stop,6.64,simverb
punish,scold,6.94,simverb
fall,stand,0.83,simverb
urge,suggest,5.89,simverb
crunch,break,4.81,simverb
decorate,adorn,6.81,simverb
have,give,1.49,simverb
chop,grate,3.49,simverb
suspect,think,6.64,simverb
duplicate,repeat,7.14,simverb
gather,recruit,5.48,simverb
make,prepare,7.3,simverb
show,hide,2.16,simverb
recruit,join,3.98,simverb
decide,choose,8.8,simverb
fight,struggle,5.81,simverb
think,guess,2.99,simverb
speak,talk,9.3,simverb
separate,split,9.13,simverb
cast,play,4.48,simverb
accept,take,8.3,simverb
strain,struggle,6.97,simverb
break,burst,5.31,simverb
decorate,change,4.48,simverb
crash,break,5.64,simverb
remove,leave,4.48,simverb
hold,release,1.16,simverb
urge,want,3.32,simverb
promise,break,0.33,simverb
leave,arrive,0.17,simverb
turn,stir,4.68,simverb
munch,crunch,6.14,simverb
respect,salute,4.81,simverb
dominate,control,7.8,simverb
persuade,change,4.65,simverb
understand,develop,3.15,simverb
connect,join,8.63,simverb
hold,squeeze,3.15,simverb
strain,drain,3.49,simverb
look,seek,8.13,simverb
grant,assume,1.99,simverb
speak,remark,6.64,simverb
seem,look,3.98,simverb
waste,want,0.33,simverb
look,perceive,4.98,simverb
pause,break,6.64,simverb
drift,sway,5.43,simverb
roam,wander,9.13,simverb
succeed,attempt,2.16,simverb
save,spare,5.98,simverb
wander,drift,8.13,simverb
grab,grasp,7.47,simverb
attack,hurt,6.31,simverb
like,dislike,0.17,simverb
bounce,jump,6.81,simverb
seek,hide,0.17,simverb
debate,argue,7.97,simverb
break,split,7.47,simverb
worry,concern,7.8,simverb
update,inform,6.14,simverb
wait,hold,5.15,simverb
look,find,4.98,simverb
bend,lean,5.31,simverb
leave,disperse,5.64,simverb
introduce,know,2.49,simverb
look,evaluate,5.15,simverb
drink,blend,1.0,simverb
fail,discourage,2.82,simverb
multiply,divide,0.5,simverb
debate,fight,6.64,simverb
convince,argue,4.15,simverb
inform,tell,8.63,simverb
earn,spend,1.16,simverb
capture,catch,9.3,simverb
control,operate,7.8,simverb
destroy,conquer,6.14,simverb
promise,keep,3.49,simverb
borrow,return,0.5,simverb
disperse,give,5.15,simverb
sink,swim,1.0,simverb
seek,find,6.47,simverb
dunk,sink,4.32,simverb
create,destroy,1.0,simverb
attend,join,3.82,simverb
seize,grasp,7.47,simverb
drink,stir,1.33,simverb
hang,kill,4.32,simverb
evaluate,determine,6.47,simverb
perceive,deceive,0.17,simverb
define,explain,8.3,simverb
hold,capture,7.97,simverb
detach,tear,6.79,simverb
lean,trim,2.41,simverb
stop,yield,5.48,simverb
grind,dance,4.81,simverb
split,detach,5.31,simverb
break,detach,6.14,simverb
play,show,2.32,simverb
punish,hurt,4.98,simverb
walk,wander,7.14,simverb
glow,shine,8.63,simverb
exhale,inhale,1.0,simverb
help,please,2.49,simverb
urge,desire,6.64,simverb
fasten,snap,5.31,simverb
sink,fall,4.48,simverb
spread,gather,0.66,simverb
touch,grab,4.65,simverb
shake,stir,4.15,simverb
return,come,3.02,simverb
squeeze,play,0.66,simverb
persuade,convince,8.8,simverb
scare,shake,1.16,simverb
fall,catch,1.0,simverb
know,decide,2.99,simverb
believe,doubt,1.0,simverb
walk,stand,3.15,simverb
acknowledge,know,3.98,simverb
draw,write,4.98,simverb
greet,introduce,6.49,simverb
accuse,frame,3.49,simverb
wait,call,0.66,simverb
play,practice,2.66,simverb
perceive,hear,4.15,simverb
engage,start,5.81,simverb
delay,start,0.33,simverb
amaze,surprise,8.13,simverb
give,demand,0.66,simverb
fail,succeed,1.49,simverb
assume,think,5.15,simverb
walk,roam,5.98,simverb
wait,stand,2.82,simverb
understand,acknowledge,5.48,simverb
leave,wait,0.66,simverb
dance,flash,0.66,simverb
desire,want,9.46,simverb
convince,believe,5.15,simverb
succeed,excel,7.8,simverb
worry,think,2.57,simverb
urge,convince,5.58,simverb
drain,sink,3.15,simverb
deliver,arrive,4.68,simverb
think,suppose,6.64,simverb
discover,find,9.13,simverb
lift,raise,9.13,simverb
play,enjoy,4.98,simverb
incline,lean,5.81,simverb
attach,combine,6.64,simverb
pull,grab,3.49,simverb
bound,jump,5.64,simverb
stare,watch,7.64,simverb
save,protect,7.97,simverb
join,belong,5.98,simverb
cast,throw,4.98,simverb
respect,adore,4.65,simverb
save,collect,4.65,simverb
drink,pour,2.32,simverb
stink,smell,8.63,simverb
carry,deliver,3.82,simverb
repair,break,0.17,simverb
stop,interrupt,5.98,simverb
disgust,offend,8.3,simverb
break,escape,2.82,simverb
keep,stay,3.15,simverb
keep,take,2.66,simverb
release,press,0.83,simverb
know,perceive,4.98,simverb
spring,fall,1.0,simverb
produce,make,8.9,simverb
decline,advance,1.33,simverb
yield,wait,5.64,simverb
give,take,1.49,simverb
watch,observe,9.46,simverb
dismiss,release,5.81,simverb
assault,kill,5.81,simverb
follow,search,2.49,simverb
suggest,talk,2.82,simverb
stay,leave,0.17,simverb
start,stop,0.33,simverb
hunt,find,6.97,simverb
carry,haul,8.3,simverb
assault,fight,7.24,simverb
stab,kill,4.81,simverb
cough,swallow,1.99,simverb
scare,scream,2.49,simverb
fight,argue,7.14,simverb
dump,throw,4.15,simverb
connect,attach,7.64,simverb
hurt,stab,5.28,simverb
know,define,4.15,simverb
choke,kill,5.64,simverb
earn,make,5.98,simverb
bring,take,2.11,simverb
fill,pour,6.14,simverb
select,choose,9.13,simverb
hunt,shoot,7.14,simverb
stretch,reach,6.31,simverb
conquer,divide,1.0,simverb
drag,haul,8.45,simverb
need,want,1.99,simverb
give,keep,0.83,simverb
prove,convince,5.48,simverb
keep,reserve,6.81,simverb
carry,lift,7.3,simverb
hurt,criticize,3.65,simverb
kill,smash,5.48,simverb
gather,meet,7.47,simverb
evaluate,think,7.97,simverb
glow,burn,4.32,simverb
attract,like,3.32,simverb
capture,seize,8.3,simverb
hang,hold,3.82,simverb
acknowledge,show,2.82,simverb
pause,wait,8.8,simverb
take,borrow,5.81,simverb
trail,lead,2.32,simverb
hear,speak,1.0,simverb
argue,demand,3.82,simverb
crunch,smash,6.81,simverb
reach,grasp,4.15,simverb
reject,take,0.33,simverb
prefer,choose,5.64,simverb
burn,cook,2.66,simverb
remain,leave,0.5,simverb
engage,begin,6.14,simverb
believe,understand,3.98,simverb
become,succeed,3.98,simverb
touch,reach,3.65,simverb
cook,grill,6.64,simverb
look,watch,8.3,simverb
yield,give,6.31,simverb
tell,explain,6.64,simverb
allow,permit,9.63,simverb
capture,escape,0.5,simverb
arrive,come,7.14,simverb
seize,stop,5.81,simverb
request,want,6.47,simverb
imagine,think,7.64,simverb
decline,fall,6.31,simverb
waste,save,1.0,simverb
worry,doubt,5.89,simverb
show,tell,2.82,simverb
understand,know,6.34,simverb
attend,miss,0.5,simverb
fall,jump,1.49,simverb
like,prefer,8.8,simverb
show,direct,6.64,simverb
lend,borrow,3.49,simverb
criticize,argue,4.65,simverb
catch,receive,6.97,simverb
talk,explain,5.98,simverb
leave,walk,1.83,simverb
leave,release,3.49,simverb
rattle,shake,6.97,simverb
promise,swear,8.3,simverb
look,squint,4.81,simverb
drink,swallow,4.98,simverb
decide,think,4.65,simverb
guess,assume,6.64,simverb
catch,hold,4.32,simverb
dismiss,leave,4.48,simverb
request,demand,4.48,simverb
search,find,4.81,simverb
search,hunt,7.47,simverb
finish,solve,5.98,simverb
remember,think,3.49,simverb
argue,prove,3.49,simverb
catch,throw,1.99,simverb
whip,cook,2.16,simverb
dance,swing,4.15,simverb
swing,hang,3.82,simverb
hide,appear,0.5,simverb
walk,follow,2.82,simverb
change,remain,0.5,simverb
hamper,hurt,4.53,simverb
help,concern,3.49,simverb
crunch,destroy,3.65,simverb
stay,attend,2.32,simverb
struggle,hurt,1.66,simverb
strip,drag,1.16,simverb
excel,drive,2.16,simverb
release,take,1.49,simverb
hear,repeat,0.66,simverb
give,borrow,2.66,simverb
happen,appear,1.83,simverb
deliver,save,1.0,simverb
incline,suggest,4.81,simverb
sneak,look,3.65,simverb
examine,study,8.3,simverb
change,convince,3.98,simverb
accept,deliver,1.66,simverb
spring,fling,4.32,simverb
drive,veer,3.49,simverb
stop,hurt,0.5,simverb
snatch,catch,3.32,simverb
hope,need,1.99,simverb
destroy,seek,0.17,simverb
develop,begin,3.98,simverb
squint,stare,4.15,simverb
spell,define,3.49,simverb
choose,want,2.99,simverb
examine,observe,7.97,simverb
fail,miss,7.3,simverb
charge,accuse,6.31,simverb
shift,drive,3.15,simverb
fight,abuse,5.31,simverb
give,decline,0.33,simverb
leave,join,0.17,simverb
scare,jump,2.66,simverb
hang,fall,0.5,simverb
persuade,argue,5.31,simverb
hurt,kill,4.81,simverb
capture,chase,2.16,simverb
purchase,acquire,8.0,simverb
roam,search,4.81,simverb
keep,capture,5.81,simverb
attach,join,7.47,simverb
taste,swallow,4.48,simverb
guess,choose,3.49,simverb
recycle,waste,0.45,simverb
strike,miss,1.83,simverb
cook,stew,4.65,simverb
scream,scold,4.65,simverb
have,acquire,4.15,simverb
become,seem,1.83,simverb
change,stay,0.5,simverb
shift,turn,4.32,simverb
wash,wear,0.66,simverb
sprinkle,dash,1.99,simverb
direct,help,3.32,simverb
speak,suggest,4.48,simverb
connect,touch,5.98,simverb
drip,fall,1.66,simverb
detach,release,8.63,simverb
spare,strike,1.33,simverb
affect,hurt,2.82,simverb
result,happen,5.43,simverb
snap,crunch,5.64,simverb
express,explain,5.81,simverb
protect,keep,3.98,simverb
drive,desire,1.83,simverb
remove,loosen,3.32,simverb
lift,hold,3.82,simverb
control,capture,4.65,simverb
raise,rise,7.3,simverb
plead,convince,4.81,simverb
grab,squeeze,4.32,simverb
surprise,guess,1.49,simverb
look,read,4.48,simverb
leave,appear,0.66,simverb
enter,escape,1.16,simverb
persuade,sway,7.3,simverb
release,drain,4.15,simverb
leave,help,0.83,simverb
hold,bear,5.31,simverb
wear,strain,3.02,simverb
protect,fight,3.49,simverb
acquire,find,6.81,simverb
release,loosen,4.65,simverb
stay,please,1.83,simverb
neglect,reject,3.49,simverb
repeat,understand,2.16,simverb
persuade,suggest,5.58,simverb
result,affect,6.31,simverb
attract,disgust,0.5,simverb
follow,leave,1.49,simverb
advance,charge,5.98,simverb
allow,grant,8.3,simverb
create,become,2.32,simverb
spray,sprinkle,4.15,simverb
fight,conquer,5.81,simverb
catch,release,0.5,simverb
affect,touch,3.65,simverb
stop,walk,0.17,simverb
swim,flutter,0.83,simverb
please,like,2.82,simverb
kill,conquer,3.82,simverb
hurt,deceive,4.32,simverb
become,appear,2.82,simverb
gather,bring,4.65,simverb
spray,shoot,2.49,simverb
send,disperse,2.32,simverb
stop,accelerate,0.5,simverb
like,imitate,1.33,simverb
drain,remove,5.48,simverb
gather,take,5.48,simverb
take,lift,4.32,simverb
enter,return,2.49,simverb
accept,want,2.66,simverb
taste,touch,1.83,simverb
seem,believe,1.33,simverb
smell,feel,2.16,simverb
veer,lean,3.98,simverb
lead,organize,4.81,simverb
keep,return,0.66,simverb
stop,turn,2.16,simverb
look,yield,1.83,simverb
leave,meet,0.83,simverb
destroy,save,0.3,simverb
please,urge,2.16,simverb
separate,drift,5.64,simverb
delay,hurry,0.33,simverb
lift,evaluate,2.66,simverb
bring,send,1.99,simverb
meet,join,5.31,simverb
gather,leave,0.83,simverb
introduce,acknowledge,3.47,simverb
hold,pull,2.32,simverb
have,receive,2.99,simverb
hamper,hold,3.15,simverb
inhale,smell,6.97,simverb
explain,spell,3.15,simverb
know,update,2.82,simverb
inspect,observe,6.47,simverb
make,allow,1.83,simverb
deliver,stand,0.0,simverb
reach,hold,3.15,simverb
stop,help,1.21,simverb
believe,feel,2.99,simverb
protect,kill,1.49,simverb
help,depend,2.32,simverb
separate,attach,1.0,simverb
grasp,take,5.31,simverb
swing,fall,0.83,simverb
count,evaluate,4.65,simverb
fail,decline,3.65,simverb
know,suggest,1.83,simverb
show,look,1.33,simverb
speak,scream,2.82,simverb
feel,express,6.31,simverb
operate,perform,6.97,simverb
criticize,remark,3.15,simverb
drift,flow,6.81,simverb
kill,look,0.0,simverb
recruit,take,2.66,simverb
crash,fall,3.49,simverb
tell,remark,6.31,simverb
deal,sell,4.48,simverb
understand,solve,5.15,simverb
control,stop,3.49,simverb
prove,solve,5.48,simverb
bend,shake,1.49,simverb
guess,suspect,7.64,simverb
save,earn,2.66,simverb
demand,take,5.64,simverb
launch,send,5.31,simverb
tear,split,8.47,simverb
create,draw,4.48,simverb
assume,believe,2.99,simverb
plead,help,0.66,simverb
excel,lead,4.65,simverb
return,arrive,3.15,simverb
destroy,hurt,5.64,simverb
catch,find,3.98,simverb
sell,suggest,2.66,simverb
engage,meet,4.48,simverb
feel,taste,1.16,simverb
wash,spray,4.65,simverb
collect,organize,5.31,simverb
choose,determine,7.47,simverb
receive,accept,6.31,simverb
wear,remove,1.49,simverb
shoot,hurt,5.31,simverb
stand,rise,6.81,simverb
carry,help,3.15,simverb
frustrate,discourage,4.15,simverb
dare,accept,1.16,simverb
play,fight,3.49,simverb
hold,touch,6.31,simverb
strain,release,2.66,simverb
blend,combine,8.47,simverb
attract,catch,2.82,simverb
protect,hide,4.65,simverb
